2023-03-28 | 14:33:08	GET	 undefined	 /index
2023-03-28 | 14:33:08	GET	 undefined	 /css/style.css
2023-03-28 | 14:33:36	GET	 undefined	 /
2023-03-28 | 14:33:36	GET	 undefined	 /css/style.css
2023-03-28 | 14:35:13	GET	 undefined	 /
2023-03-28 | 14:35:13	GET	 undefined	 /css/style.css
2023-03-28 | 14:44:27	GET	 undefined	 /
2023-03-28 | 14:44:27	GET	 undefined	 /css/style.css
2023-03-28 | 14:45:47	GET	 undefined	 /
2023-03-28 | 14:45:47	GET	 undefined	 /css/style.css
2023-03-28 | 14:46:00	OPTIONS	 https://www.google.com	 /
2023-03-28 | 14:46:00	GET	 https://www.google.com	 /
2023-03-28 | 15:24:08	OPTIONS	 https://www.google.com	 /
2023-03-28 | 15:24:08	GET	 https://www.google.com	 /
2023-03-28 | 15:27:38	GET	 undefined	 /
2023-03-28 | 15:28:20	GET	 undefined	 /
2023-03-28 | 15:28:20	GET	 undefined	 /css/style.css
2023-03-28 | 15:28:24	GET	 undefined	 /
2023-03-28 | 15:28:24	GET	 undefined	 /css/style.css
2023-03-28 | 15:28:24	GET	 undefined	 /
2023-03-28 | 15:28:24	GET	 undefined	 /css/style.css
2023-03-28 | 15:28:25	GET	 undefined	 /
2023-03-28 | 15:28:25	GET	 undefined	 /css/style.css
2023-03-28 | 15:28:25	GET	 undefined	 /
2023-03-28 | 15:28:25	GET	 undefined	 /css/style.css
2023-03-28 | 15:28:49	GET	 undefined	 /
2023-03-28 | 15:28:49	GET	 undefined	 /css/style.css
2023-03-28 | 15:32:47	GET	 undefined	 /
2023-03-28 | 15:32:47	GET	 undefined	 /css/style.css
2023-03-28 | 15:32:56	GET	 undefined	 /
2023-03-28 | 15:33:50	GET	 undefined	 /
2023-03-28 | 15:33:51	GET	 undefined	 /css/style.css
2023-03-28 | 15:35:13	GET	 undefined	 /
2023-03-28 | 15:35:13	GET	 undefined	 /css/style.css
2023-03-28 | 15:35:25	GET	 undefined	 /dave
2023-03-28 | 15:35:25	GET	 undefined	 /css/style.css
2023-03-28 | 15:38:08	GET	 undefined	 /dave
2023-03-28 | 15:38:08	GET	 undefined	 /css/style.css
2023-03-28 | 15:38:14	GET	 undefined	 /dave
2023-03-28 | 15:38:14	GET	 undefined	 /css/style.css
2023-03-28 | 15:45:55	GET	 undefined	 /subdir
2023-03-28 | 15:45:55	GET	 undefined	 /css/style.css
2023-03-28 | 15:46:02	GET	 undefined	 /subdir/index
2023-03-28 | 15:46:02	GET	 undefined	 /subdir/css/style.css
2023-03-28 | 15:46:08	GET	 undefined	 /subdir/index.html
2023-03-28 | 15:46:08	GET	 undefined	 /subdir/css/style.css
2023-03-28 | 15:46:20	GET	 undefined	 /subdir/test
2023-03-28 | 15:46:20	GET	 undefined	 /subdir/css/style.css
2023-03-28 | 15:46:29	GET	 undefined	 /subdir/fff
2023-03-28 | 15:46:29	GET	 undefined	 /subdir/css/style.css
2023-03-28 | 15:47:53	GET	 undefined	 /subdir/fff
2023-03-28 | 15:47:53	GET	 undefined	 /subdir/css/style.css
2023-03-28 | 15:48:09	GET	 undefined	 /subdir/fff
2023-03-28 | 15:48:09	GET	 undefined	 /subdir/css/style.css
2023-03-28 | 15:48:10	GET	 undefined	 /subdir/fff
